iter	Passed	Remaining
0	12	2582
1	24	2465
2	36	2421
3	48	2387
4	61	2381
5	71	2310
6	81	2258
7	92	2217
8	103	2192
9	113	2163
10	124	2145
11	135	2126
12	146	2105
13	157	2086
14	167	2066
15	178	2050
16	188	2033
17	199	2017
18	210	2006
19	221	1989
20	231	1975
21	242	1963
22	253	1949
23	264	1938
24	275	1926
25	285	1912
26	296	1901
27	307	1890
28	318	1878
29	329	1865
30	341	1860
31	353	1854
32	364	1843
33	374	1829
34	385	1817
35	396	1805
36	406	1792
37	417	1781
38	429	1771
39	439	1758
40	450	1747
41	461	1735
42	472	1723
43	482	1711
44	493	1699
45	504	1688
46	514	1676
47	525	1664
48	536	1652
49	546	1640
50	557	1629
51	568	1618
52	579	1606
53	590	1595
54	601	1584
55	610	1570
56	620	1556
57	631	1545
58	642	1535
59	652	1523
60	663	1511
61	674	1500
62	684	1488
63	695	1477
64	706	1467
65	717	1456
66	728	1445
67	738	1434
68	749	1422
69	760	1411
70	770	1400
71	781	1389
72	792	1378
73	803	1367
74	813	1355
75	822	1342
76	833	1330
77	844	1320
78	856	1311
79	867	1301
80	877	1289
81	888	1278
82	899	1267
83	910	1256
84	921	1246
85	931	1234
86	942	1224
87	953	1213
88	964	1202
89	975	1192
90	986	1181
91	996	1170
92	1007	1159
93	1018	1148
94	1029	1137
95	1039	1125
96	1049	1113
97	1058	1101
98	1068	1090
99	1079	1079
100	1089	1067
101	1100	1057
102	1110	1046
103	1121	1035
104	1132	1024
105	1143	1013
106	1154	1003
107	1165	992
108	1175	981
109	1186	970
110	1196	959
111	1207	948
112	1218	938
113	1228	927
114	1239	916
115	1250	905
116	1260	894
117	1271	883
118	1281	872
119	1292	861
120	1303	850
121	1313	839
122	1324	829
123	1335	818
124	1346	807
125	1357	797
126	1367	786
127	1378	775
128	1389	764
129	1399	753
130	1410	742
131	1421	732
132	1432	721
133	1442	710
134	1453	699
135	1464	688
136	1474	678
137	1485	667
138	1496	656
139	1506	645
140	1517	635
141	1528	624
142	1538	613
143	1549	602
144	1560	591
145	1571	581
146	1581	570
147	1592	559
148	1603	548
149	1613	537
150	1624	527
151	1635	516
152	1645	505
153	1656	494
154	1667	484
155	1677	473
156	1688	462
157	1699	451
158	1710	440
159	1720	430
160	1731	419
161	1742	408
162	1752	397
163	1763	387
164	1774	376
165	1784	365
166	1796	354
167	1806	344
168	1817	333
169	1828	322
170	1839	311
171	1850	301
172	1862	290
173	1872	279
174	1883	269
175	1893	258
176	1904	247
177	1915	236
178	1926	225
179	1936	215
180	1947	204
181	1957	193
182	1968	182
183	1979	172
184	2009	162
185	2024	152
186	2038	141
187	2050	130
188	2061	120
189	2073	109
190	2084	98
191	2095	87
192	2106	76
193	2117	65
194	2128	54
195	2139	43
196	2151	32
197	2162	21
198	2173	10
199	2184	0
