iter	Passed	Remaining
0	6	3065
1	12	3071
2	17	2904
3	23	2856
4	29	2876
5	34	2848
6	40	2832
7	46	2830
8	51	2788
9	56	2773
10	64	2872
11	69	2837
12	75	2829
13	81	2812
14	86	2790
15	92	2794
16	98	2795
17	104	2785
18	109	2773
19	112	2693
20	117	2677
21	123	2678
22	128	2668
23	133	2652
24	139	2648
25	144	2641
26	150	2635
27	156	2632
28	161	2622
29	167	2616
30	173	2627
31	179	2628
32	186	2633
33	192	2642
34	199	2647
35	206	2660
36	212	2660
37	219	2670
38	226	2671
39	233	2684
40	240	2696
41	248	2705
42	255	2718
43	261	2713
44	270	2730
45	276	2729
46	283	2730
47	290	2731
48	296	2728
49	303	2727
50	309	2722
51	315	2722
52	322	2718
53	328	2715
54	337	2734
55	345	2736
56	351	2730
57	358	2729
58	365	2731
59	371	2725
60	378	2720
61	385	2720
62	391	2716
63	399	2723
64	407	2724
65	415	2733
66	422	2731
67	430	2737
68	437	2731
69	444	2729
70	450	2723
71	457	2718
72	464	2719
73	471	2715
74	479	2718
75	486	2712
76	494	2716
77	501	2714
78	508	2709
79	515	2704
80	522	2704
81	529	2697
82	532	2674
83	539	2672
84	546	2670
85	553	2662
86	559	2655
87	565	2648
88	572	2643
89	578	2636
90	584	2629
91	591	2624
92	598	2620
93	605	2616
94	611	2607
95	617	2599
96	623	2591
97	629	2583
98	636	2577
99	642	2570
100	648	2562
101	655	2557
102	661	2550
103	668	2546
104	674	2538
105	681	2531
106	688	2528
107	695	2523
108	702	2518
109	708	2511
110	714	2504
111	721	2500
112	728	2495
113	736	2494
114	742	2486
115	750	2483
116	756	2477
117	760	2462
118	767	2456
119	773	2449
120	779	2442
121	786	2437
122	792	2430
123	800	2426
124	807	2421
125	813	2413
126	819	2406
127	825	2400
128	833	2395
129	839	2390
130	847	2386
131	854	2381
132	862	2380
133	869	2374
134	875	2368
135	882	2362
136	888	2355
137	897	2353
138	904	2350
139	912	2345
140	918	2338
141	925	2332
142	931	2326
143	938	2319
144	945	2314
145	952	2308
146	959	2304
147	966	2298
148	973	2292
149	980	2287
150	986	2280
151	994	2276
152	1000	2269
153	1007	2264
154	1014	2258
155	1021	2252
156	1027	2245
157	1034	2239
158	1041	2234
159	1047	2226
160	1054	2221
161	1061	2215
162	1068	2209
163	1075	2203
164	1082	2197
165	1090	2193
166	1096	2186
167	1104	2181
168	1111	2177
169	1120	2174
170	1126	2167
171	1133	2161
172	1140	2155
173	1147	2149
174	1154	2144
175	1160	2137
176	1167	2131
177	1174	2123
178	1180	2116
179	1187	2111
180	1193	2103
181	1200	2096
182	1206	2089
183	1212	2082
184	1222	2082
185	1231	2079
186	1238	2072
187	1245	2066
188	1252	2060
189	1257	2052
190	1265	2047
191	1272	2040
192	1278	2034
193	1285	2027
194	1291	2020
195	1298	2014
196	1305	2007
197	1312	2001
198	1318	1994
199	1325	1988
200	1332	1981
201	1338	1974
202	1346	1970
203	1353	1963
204	1360	1957
205	1375	1963
206	1383	1958
207	1390	1952
208	1397	1946
209	1404	1939
210	1412	1934
211	1418	1927
212	1425	1921
213	1433	1915
214	1440	1909
215	1446	1902
216	1453	1895
217	1460	1889
218	1467	1882
219	1474	1876
220	1481	1870
221	1488	1863
222	1495	1857
223	1502	1851
224	1509	1845
225	1516	1838
226	1525	1834
227	1533	1829
228	1540	1823
229	1547	1816
230	1555	1811
231	1561	1804
232	1568	1797
233	1575	1790
234	1582	1784
235	1590	1778
236	1596	1771
237	1603	1765
238	1610	1758
239	1617	1752
240	1624	1745
241	1630	1738
242	1637	1732
243	1645	1726
244	1652	1720
245	1658	1712
246	1665	1706
247	1671	1698
248	1677	1690
249	1684	1684
250	1690	1677
251	1697	1670
252	1703	1663
253	1709	1655
254	1716	1649
255	1723	1642
256	1729	1635
257	1736	1628
258	1742	1621
259	1749	1614
260	1755	1607
261	1761	1600
262	1767	1593
263	1773	1585
264	1780	1579
265	1786	1571
266	1792	1564
267	1798	1557
268	1805	1550
269	1811	1543
270	1817	1536
271	1823	1528
272	1830	1522
273	1836	1515
274	1843	1508
275	1850	1501
276	1856	1494
277	1864	1488
278	1870	1481
279	1876	1474
280	1882	1467
281	1888	1460
282	1895	1453
283	1901	1446
284	1907	1439
285	1913	1432
286	1919	1424
287	1928	1419
288	1934	1412
289	1941	1406
290	1948	1399
291	1954	1392
292	1961	1385
293	1967	1378
294	1974	1372
295	1980	1364
296	1986	1358
297	1993	1351
298	1999	1344
299	2006	1337
300	2012	1330
301	2019	1323
302	2025	1317
303	2031	1309
304	2038	1303
305	2045	1296
306	2051	1289
307	2057	1282
308	2063	1275
309	2071	1269
310	2077	1262
311	2083	1255
312	2091	1249
313	2097	1242
314	2104	1235
315	2111	1229
316	2118	1222
317	2124	1216
318	2131	1209
319	2138	1202
320	2144	1195
321	2153	1190
322	2161	1184
323	2169	1178
324	2176	1172
325	2186	1167
326	2194	1160
327	2202	1155
328	2209	1148
329	2217	1142
330	2224	1135
331	2240	1133
332	2247	1126
333	2255	1120
334	2261	1113
335	2268	1107
336	2276	1100
337	2282	1094
338	2289	1087
339	2297	1081
340	2303	1074
341	2310	1067
342	2316	1060
343	2323	1053
344	2331	1047
345	2338	1040
346	2345	1034
347	2352	1027
348	2360	1021
349	2366	1014
350	2373	1007
351	2378	1000
352	2384	992
353	2390	986
354	2396	978
355	2402	971
356	2409	965
357	2415	958
358	2422	951
359	2427	944
360	2434	937
361	2441	930
362	2447	923
363	2453	916
364	2460	909
365	2466	903
366	2472	896
367	2478	889
368	2485	882
369	2491	875
370	2499	868
371	2506	862
372	2512	855
373	2520	849
374	2527	842
375	2533	835
376	2540	828
377	2546	821
378	2554	815
379	2561	808
380	2568	802
381	2575	795
382	2582	788
383	2589	782
384	2595	775
385	2602	768
386	2609	761
387	2616	755
388	2622	748
389	2630	741
390	2636	735
391	2642	728
392	2648	721
393	2654	714
394	2660	707
395	2667	700
396	2673	693
397	2679	686
398	2685	679
399	2694	673
400	2702	667
401	2710	660
402	2719	654
403	2727	648
404	2733	641
405	2740	634
406	2747	627
407	2753	620
408	2761	614
409	2767	607
410	2774	600
411	2780	593
412	2786	587
413	2792	580
414	2798	573
415	2804	566
416	2810	559
417	2816	552
418	2822	545
419	2827	538
420	2832	531
421	2839	524
422	2844	517
423	2850	510
424	2856	504
425	2863	497
426	2870	490
427	2875	483
428	2880	476
429	2886	469
430	2891	462
431	2896	455
432	2902	449
433	2907	442
434	2911	435
435	2917	428
436	2923	421
437	2928	414
438	2934	407
439	2940	400
440	2945	394
441	2951	387
442	2956	380
443	2961	373
444	2967	366
445	2973	360
